algoritmo,archivo,patron,comparaciones,accesos_memoria,tiempo_ms
kmp,resultados_kmp.csv,documento,647,712,0.020
kmp,resultados_kmp.csv,texto,663,714,0.011
kmp,resultados_kmp.csv,analisis,899,951,0.008
kmp,resultados_kmp.csv,puntuacion,899,939,0.011
kmp,resultados_kmp.csv,caracteres,899,949,0.012
kmp,resultados_kmp.csv,este documento,972,1062,0.007
kmp,resultados_kmp.csv,este docume,968,1050,0.008
kmp,resultados_kmp.csv,ume,963,989,0.010
kmp,resultados_kmp.csv,hola,1301,1307,0.009
kmp,resultados_kmp.csv,hola,1301,1307,0.010
kmp,resultados_kmp.csv,hola,1351,1358,0.009
kmp,resultados_kmp.csv,hola,1301,1307,0.004
kmp,resultados_kmp.csv,hola,1351,1358,0.008
kmp,resultados_kmp.csv,hola,1301,1307,0.008
kmp,resultados_kmp.csv,hola,1301,1307,0.009
kmp,resultados_kmp.csv,hola,2063,2072,0.011
kmp,resultados_kmp.csv,hola,1301,1307,0.010
kmp,resultados_kmp.csv,hola,2063,2072,0.012
kmp,resultados_kmp.csv,hola,1351,1358,0.010
kmp,resultados_kmp.csv,hola,565,571,0.008
kmp,resultados_kmp.csv,hola,582,590,0.005
kmp,resultados_kmp.csv,hola,582,590,0.004
kmp,resultados_kmp.csv,hola,665,671,0.007
kmp,resultados_kmp.csv,hola,582,590,0.005
kmp,resultados_kmp.csv,hola,565,571,0.005
kmp,resultados_kmp.csv,documento,655,702,0.014
kmp,resultados_kmp.csv,documento,568,592,0.006
kmp,resultados_kmp.csv,documento,1343,1398,0.017
kmp,resultados_kmp.csv,documento,1807,1878,0.014
kmp,resultados_kmp.csv,este documento,1798,1965,0.015
kmp,resultados_kmp.csv,un reciente,1810,1859,0.014
kmp,resultados_kmp.csv,reciente,1802,1878,0.012
kmp,resultados_kmp.csv,reciente,1802,1878,0.012
kmp,resultados_kmp.csv,un reciente,1810,1859,0.014
kmp,resultados_kmp.csv,hola,665,671,0.007
